"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","A not subtyped","B (lineage not determined)"
"576","United Kingdom, England","Not defined","2013-11",2013-03-11,277,277,0,14,20,182,61
"577","United Kingdom, England","Not defined","2013-12",2013-03-18,186,186,0,12,25,117,32
"578","United Kingdom, England","Not defined","2013-13",2013-03-25,193,193,0,9,21,142,21
"579","United Kingdom, England","Not defined","2013-14",2013-04-01,119,119,0,6,10,82,21
"580","United Kingdom, England","Not defined","2013-15",2013-04-08,166,166,0,6,20,109,31
"581","United Kingdom, England","Not defined","2013-16",2013-04-15,183,183,0,6,15,128,34
"582","United Kingdom, England","Not defined","2013-17",2013-04-22,73,73,0,4,5,46,18
"583","United Kingdom, England","Not defined","2013-18",2013-04-29,41,41,0,2,1,28,10
"584","United Kingdom, England","Not defined","2013-19",2013-05-06,25,25,0,0,0,23,2
"585","United Kingdom, England","Not defined","2013-20",2013-05-13,15,15,0,0,1,8,6
"586","United Kingdom, England","Not defined","2013-21",2013-05-20,15,15,0,1,0,12,2
"587","United Kingdom, England","Not defined","2013-22",2013-05-27,20,20,0,0,6,8,6
"588","United Kingdom, England","Not defined","2013-23",2013-06-03,5,4,1,0,2,2,0
"589","United Kingdom, England","Not defined","2013-24",2013-06-10,7,2,5,0,1,1,0
"590","United Kingdom, England","Not defined","2013-25",2013-06-17,5,2,3,1,0,1,0
"591","United Kingdom, England","Not defined","2013-26",2013-06-24,2,1,1,0,0,1,0
"592","United Kingdom, England","Not defined","2013-27",2013-07-01,8,8,0,0,0,8,0
"593","United Kingdom, England","Not defined","2013-28",2013-07-08,3,2,1,0,0,0,2
"594","United Kingdom, England","Not defined","2013-29",2013-07-15,2,2,0,0,0,2,0
"595","United Kingdom, England","Not defined","2013-30",2013-07-22,4,4,0,0,1,2,1
"596","United Kingdom, England","Not defined","2013-31",2013-07-29,2,2,0,0,0,2,0
"597","United Kingdom, England","Not defined","2013-32",2013-08-05,1,0,1,0,0,0,0
"598","United Kingdom, England","Not defined","2013-33",2013-08-12,5,4,1,0,0,2,2
"599","United Kingdom, England","Not defined","2013-34",2013-08-19,30,2,28,0,0,2,0
"600","United Kingdom, England","Not defined","2013-35",2013-08-26,2,2,0,0,0,1,1
"601","United Kingdom, England","Not defined","2013-36",2013-09-02,3,3,0,0,0,3,0
"602","United Kingdom, England","Not defined","2014-22",2014-05-26,91,1,90,0,1,0,0
"603","United Kingdom, England","Not defined","2014-39",2014-09-22,7,5,2,0,0,3,2
"604","United Kingdom, England","Not defined","2015-23",2015-06-01,60,1,59,0,0,0,1
"605","United Kingdom, England","Not defined","2018-22",2018-05-28,186,0,186,0,0,0,0
"606","United Kingdom, England","Not defined","2018-25",2018-06-18,163,0,163,0,0,0,0
"607","United Kingdom, England","Sentinel","2013-40",2013-09-30,15,0,15,0,0,0,0
"608","United Kingdom, England","Sentinel","2013-41",2013-10-07,20,0,20,0,0,0,0
"609","United Kingdom, England","Sentinel","2013-42",2013-10-14,62,0,62,0,0,0,0
"610","United Kingdom, England","Sentinel","2013-43",2013-10-21,69,0,69,0,0,0,0
"611","United Kingdom, England","Sentinel","2013-44",2013-10-28,58,2,56,0,0,0,2
"612","United Kingdom, England","Sentinel","2013-45",2013-11-04,57,2,55,1,1,0,0
"613","United Kingdom, England","Sentinel","2013-46",2013-11-11,67,0,67,0,0,0,0
"614","United Kingdom, England","Sentinel","2013-47",2013-11-18,53,0,53,0,0,0,0
"615","United Kingdom, England","Sentinel","2013-48",2013-11-25,72,0,72,0,0,0,0
"616","United Kingdom, England","Sentinel","2013-49",2013-12-02,68,1,67,1,0,0,0
"617","United Kingdom, England","Sentinel","2013-50",2013-12-09,82,6,76,2,4,0,0
"618","United Kingdom, England","Sentinel","2013-51",2013-12-16,63,5,58,2,3,0,0
"619","United Kingdom, England","Sentinel","2013-52",2013-12-23,38,1,37,1,0,0,0
"620","United Kingdom, England","Sentinel","2014-01",2013-12-30,67,3,64,1,2,0,0
"621","United Kingdom, England","Sentinel","2014-02",2014-01-06,93,14,79,11,2,0,1
"622","United Kingdom, England","Sentinel","2014-03",2014-01-13,58,12,46,8,4,0,0
"623","United Kingdom, England","Sentinel","2014-04",2014-01-20,62,11,51,8,3,0,0
"624","United Kingdom, England","Sentinel","2014-05",2014-01-27,63,9,54,7,2,0,0
"625","United Kingdom, England","Sentinel","2014-06",2014-02-03,86,33,53,27,4,0,2
"626","United Kingdom, England","Sentinel","2014-07",2014-02-10,69,30,39,24,5,0,1
"627","United Kingdom, England","Sentinel","2014-08",2014-02-17,69,19,50,15,4,0,0
"628","United Kingdom, England","Sentinel","2014-09",2014-02-24,60,19,41,14,5,0,0
"629","United Kingdom, England","Sentinel","2014-10",2014-03-03,55,20,35,16,4,0,0
"630","United Kingdom, England","Sentinel","2014-11",2014-03-10,46,21,25,15,5,0,1
"631","United Kingdom, England","Sentinel","2014-12",2014-03-17,50,12,38,10,1,0,1
"632","United Kingdom, England","Sentinel","2014-13",2014-03-24,45,12,33,8,4,0,0
"633","United Kingdom, England","Sentinel","2014-14",2014-03-31,42,5,37,2,3,0,0
"634","United Kingdom, England","Sentinel","2014-15",2014-04-07,31,4,27,2,2,0,0
"635","United Kingdom, England","Sentinel","2014-16",2014-04-14,15,3,12,2,0,0,1
"636","United Kingdom, England","Sentinel","2014-17",2014-04-21,6,0,6,0,0,0,0
"637","United Kingdom, England","Sentinel","2014-18",2014-04-28,14,0,14,0,0,0,0
"638","United Kingdom, England","Sentinel","2014-19",2014-05-05,7,0,7,0,0,0,0
"639","United Kingdom, England","Sentinel","2014-20",2014-05-12,0,0,0,0,0,0,0
"640","United Kingdom, England","Sentinel","2014-40",2014-09-29,7,0,7,0,0,0,0
"641","United Kingdom, England","Sentinel","2014-41",2014-10-06,17,0,17,0,0,0,0
"642","United Kingdom, England","Sentinel","2014-42",2014-10-13,30,2,28,0,1,0,1
"643","United Kingdom, England","Sentinel","2014-43",2014-10-20,15,0,15,0,0,0,0
"644","United Kingdom, England","Sentinel","2014-44",2014-10-27,33,1,32,0,1,0,0
"645","United Kingdom, England","Sentinel","2014-45",2014-11-03,53,0,53,0,0,0,0
"646","United Kingdom, England","Sentinel","2014-46",2014-11-10,43,3,40,0,2,0,1
"647","United Kingdom, England","Sentinel","2014-47",2014-11-17,24,1,23,0,1,0,0
"648","United Kingdom, England","Sentinel","2014-48",2014-11-24,49,2,47,0,2,0,0
"649","United Kingdom, England","Sentinel","2014-49",2014-12-01,43,3,40,0,2,0,1
"650","United Kingdom, England","Sentinel","2014-50",2014-12-08,57,16,41,0,16,0,0
"651","United Kingdom, England","Sentinel","2015-40",2015-09-28,6,0,6,0,0,0,0
"652","United Kingdom, England","Sentinel","2015-41",2015-10-05,3,0,3,0,0,0,0
"653","United Kingdom, England","Sentinel","2015-42",2015-10-12,28,0,28,0,0,0,0
"654","United Kingdom, England","Sentinel","2015-43",2015-10-19,48,1,47,1,0,0,0
"655","United Kingdom, England","Sentinel","2015-44",2015-10-26,32,0,32,0,0,0,0
"656","United Kingdom, England","Sentinel","2015-45",2015-11-02,40,0,40,0,0,0,0
"657","United Kingdom, England","Sentinel","2015-46",2015-11-09,69,1,68,0,0,0,1
"658","United Kingdom, England","Sentinel","2015-47",2015-11-16,70,4,66,3,1,0,0
"659","United Kingdom, England","Sentinel","2015-48",2015-11-23,66,1,65,0,0,0,1
"660","United Kingdom, England","Sentinel","2015-49",2015-11-30,77,3,74,2,1,0,0
"661","United Kingdom, England","Sentinel","2015-50",2015-12-07,80,3,77,3,0,0,0
"662","United Kingdom, England","Sentinel","2015-51",2015-12-14,103,13,90,12,1,0,0
"663","United Kingdom, England","Sentinel","2015-52",2015-12-21,79,10,69,9,0,0,1
"664","United Kingdom, England","Sentinel","2015-53",2015-12-28,51,14,37,13,0,0,1
"665","United Kingdom, England","Sentinel","2016-01",2016-01-04,130,18,112,15,0,0,3
"666","United Kingdom, England","Sentinel","2016-02",2016-01-11,109,20,89,20,0,0,0
"667","United Kingdom, England","Sentinel","2016-03",2016-01-18,130,28,102,26,0,0,2
"668","United Kingdom, England","Sentinel","2016-04",2016-01-25,150,60,90,51,2,0,7
"669","United Kingdom, England","Sentinel","2016-05",2016-02-01,168,63,105,57,2,0,4
"670","United Kingdom, England","Sentinel","2016-06",2016-02-08,164,59,105,44,3,0,12
"671","United Kingdom, England","Sentinel","2016-07",2016-02-15,126,47,79,40,0,0,7
"672","United Kingdom, England","Sentinel","2016-08",2016-02-22,154,68,86,58,0,0,10
"673","United Kingdom, England","Sentinel","2016-09",2016-02-29,168,64,104,45,2,0,17
"674","United Kingdom, England","Sentinel","2016-10",2016-03-07,152,76,76,50,1,0,25
"675","United Kingdom, England","Sentinel","2016-11",2016-03-14,171,101,70,55,1,0,45
"676","United Kingdom, England","Sentinel","2016-12",2016-03-21,112,57,55,29,1,0,27
"677","United Kingdom, England","Sentinel","2016-13",2016-03-28,100,53,47,24,4,0,25
"678","United Kingdom, England","Sentinel","2016-14",2016-04-04,81,28,53,15,0,0,13
"679","United Kingdom, England","Sentinel","2016-15",2016-04-11,70,16,54,2,2,0,12
"680","United Kingdom, England","Sentinel","2016-16",2016-04-18,47,10,37,3,2,0,5
"681","United Kingdom, England","Sentinel","2016-17",2016-04-25,30,5,25,0,3,0,2
"682","United Kingdom, England","Sentinel","2016-18",2016-05-02,13,2,11,1,0,0,1
"683","United Kingdom, England","Sentinel","2016-19",2016-05-09,13,4,9,0,0,0,4
"684","United Kingdom, England","Sentinel","2016-20",2016-05-16,5,1,4,0,0,0,1
"685","United Kingdom, England","Sentinel","2016-21",2016-05-23,8,0,8,0,0,0,0
"686","United Kingdom, England","Sentinel","2016-22",2016-05-30,1,0,1,0,0,0,0
"687","United Kingdom, England","Sentinel","2016-40",2016-10-03,39,0,39,0,0,0,0
"688","United Kingdom, England","Sentinel","2016-41",2016-10-10,64,0,64,0,0,0,0
"689","United Kingdom, England","Sentinel","2016-42",2016-10-17,67,0,67,0,0,0,0
"690","United Kingdom, England","Sentinel","2016-43",2016-10-24,67,1,66,0,1,0,0
"691","United Kingdom, England","Sentinel","2016-44",2016-10-31,68,0,68,0,0,0,0
"692","United Kingdom, England","Sentinel","2016-45",2016-11-07,65,2,63,0,2,0,0
"693","United Kingdom, England","Sentinel","2016-46",2016-11-14,73,4,69,1,3,0,0
"694","United Kingdom, England","Sentinel","2016-47",2016-11-21,82,4,78,0,3,0,1
"695","United Kingdom, England","Sentinel","2016-48",2016-11-28,78,2,76,0,2,0,0
"696","United Kingdom, England","Sentinel","2016-49",2016-12-05,99,12,87,0,12,0,0
"697","United Kingdom, England","Sentinel","2016-50",2016-12-12,136,39,97,0,37,0,2
"698","United Kingdom, England","Sentinel","2016-51",2016-12-19,148,40,108,0,40,0,0
"699","United Kingdom, England","Sentinel","2016-52",2016-12-26,60,25,35,0,25,0,0
"700","United Kingdom, England","Sentinel","2017-01",2017-01-02,99,42,57,0,42,0,0
"701","United Kingdom, England","Sentinel","2017-02",2017-01-09,145,52,93,0,52,0,0
"702","United Kingdom, England","Sentinel","2017-03",2017-01-16,126,47,79,0,47,0,0
"703","United Kingdom, England","Sentinel","2017-04",2017-01-23,106,34,72,0,34,0,0
"704","United Kingdom, England","Sentinel","2017-05",2017-01-30,108,42,66,0,42,0,0
"705","United Kingdom, England","Sentinel","2017-06",2017-02-06,82,23,59,0,23,0,0
"706","United Kingdom, England","Sentinel","2017-07",2017-02-13,60,21,39,0,21,0,0
"707","United Kingdom, England","Sentinel","2017-08",2017-02-20,51,12,39,0,11,0,1
"708","United Kingdom, England","Sentinel","2017-09",2017-02-27,28,8,20,0,8,0,0
"709","United Kingdom, England","Sentinel","2017-10",2017-03-06,42,4,38,0,4,0,0
"710","United Kingdom, England","Sentinel","2017-11",2017-03-13,41,3,38,0,3,0,0
"711","United Kingdom, England","Sentinel","2017-12",2017-03-20,39,3,36,0,3,0,0
"712","United Kingdom, England","Sentinel","2017-13",2017-03-27,11,0,11,0,0,0,0
"713","United Kingdom, England","Sentinel","2017-14",2017-04-03,3,0,3,0,0,0,0
"714","United Kingdom, England","Sentinel","2017-15",2017-04-10,3,0,3,0,0,0,0
"715","United Kingdom, England","Sentinel","2017-16",2017-04-17,3,0,3,0,0,0,0
"716","United Kingdom, England","Sentinel","2017-17",2017-04-24,0,0,0,0,0,0,0
"717","United Kingdom, England","Sentinel","2017-18",2017-05-01,2,0,2,0,0,0,0
"718","United Kingdom, England","Sentinel","2017-19",2017-05-08,1,0,1,0,0,0,0
"719","United Kingdom, England","Sentinel","2017-20",2017-05-15,0,0,0,0,0,0,0
"720","United Kingdom, England","Sentinel","2017-40",2017-10-02,3,0,3,0,0,0,0
"721","United Kingdom, England","Sentinel","2017-41",2017-10-09,42,0,42,0,0,0,0
"722","United Kingdom, England","Sentinel","2017-42",2017-10-16,87,1,86,0,1,0,0
"723","United Kingdom, England","Sentinel","2017-43",2017-10-23,68,1,67,0,1,0,0
"724","United Kingdom, England","Sentinel","2017-44",2017-10-30,65,0,65,0,0,0,0
"725","United Kingdom, England","Sentinel","2017-45",2017-11-06,67,6,61,1,1,0,4
"726","United Kingdom, England","Sentinel","2017-46",2017-11-13,63,3,60,1,1,0,1
"727","United Kingdom, England","Sentinel","2017-47",2017-11-20,70,6,64,1,1,0,4
"728","United Kingdom, England","Sentinel","2017-48",2017-11-27,73,5,68,1,0,0,4
"729","United Kingdom, England","Sentinel","2017-49",2017-12-04,76,9,67,0,2,0,7
"730","United Kingdom, England","Sentinel","2017-50",2017-12-11,95,14,81,1,2,0,11
"731","United Kingdom, England","Sentinel","2017-51",2017-12-18,128,48,80,1,11,0,36
"732","United Kingdom, England","Sentinel","2017-52",2017-12-25,97,42,55,4,14,0,24
"733","United Kingdom, England","Sentinel","2018-01",2018-01-01,194,67,127,5,9,0,53
"734","United Kingdom, England","Sentinel","2018-02",2018-01-08,239,98,141,5,17,0,76
"735","United Kingdom, England","Sentinel","2018-03",2018-01-15,230,105,125,13,17,0,75
"736","United Kingdom, England","Sentinel","2018-04",2018-01-22,223,106,117,17,22,0,67
"737","United Kingdom, England","Sentinel","2018-05",2018-01-29,156,80,76,4,13,0,63
"738","United Kingdom, England","Sentinel","2018-06",2018-02-05,111,50,61,6,13,0,31
"739","United Kingdom, England","Sentinel","2018-07",2018-02-12,126,63,63,7,20,0,36
"740","United Kingdom, England","Sentinel","2018-08",2018-02-19,106,52,54,8,11,0,33
"741","United Kingdom, England","Sentinel","2018-09",2018-02-26,50,24,26,4,8,0,12
"742","United Kingdom, England","Sentinel","2018-10",2018-03-05,56,26,30,1,10,0,15
"743","United Kingdom, England","Sentinel","2018-11",2018-03-12,69,39,30,2,21,0,16
"744","United Kingdom, England","Sentinel","2018-12",2018-03-19,38,15,23,4,6,0,5
"745","United Kingdom, England","Sentinel","2018-13",2018-03-26,28,13,15,2,8,0,3
"746","United Kingdom, England","Sentinel","2018-14",2018-04-02,9,3,6,0,2,0,1
"747","United Kingdom, England","Sentinel","2018-15",2018-04-09,13,4,9,1,1,0,2
"748","United Kingdom, England","Sentinel","2018-16",2018-04-16,6,1,5,1,0,0,0
"749","United Kingdom, England","Sentinel","2018-17",2018-04-23,1,0,1,0,0,0,0
"750","United Kingdom, England","Sentinel","2018-18",2018-04-30,0,0,0,0,0,0,0
"751","United Kingdom, England","Sentinel","2018-19",2018-05-07,1,0,1,0,0,0,0
"752","United Kingdom, England","Sentinel","2018-20",2018-05-14,2,0,2,0,0,0,0
"753","United Kingdom, England","Sentinel","2018-40",2018-10-01,0,0,0,0,0,0,0
"754","United Kingdom, England","Sentinel","2018-41",2018-10-08,18,0,18,0,0,0,0
"755","United Kingdom, England","Sentinel","2018-42",2018-10-15,29,0,29,0,0,0,0
"756","United Kingdom, England","Sentinel","2018-43",2018-10-22,43,4,39,4,0,0,0
"757","United Kingdom, England","Sentinel","2018-44",2018-10-29,35,2,33,2,0,0,0
"758","United Kingdom, England","Sentinel","2018-45",2018-11-05,48,1,47,1,0,0,0
"759","United Kingdom, England","Sentinel","2018-46",2018-11-12,57,3,54,1,2,0,0
"760","United Kingdom, England","Sentinel","2018-47",2018-11-19,83,1,82,0,1,0,0
"761","United Kingdom, England","Sentinel","2018-48",2018-11-26,85,6,79,4,2,0,0
"762","United Kingdom, England","Sentinel","2018-49",2018-12-03,61,4,57,3,0,0,1
"763","United Kingdom, England","Sentinel","2018-50",2018-12-10,64,3,61,2,0,0,1
"764","United Kingdom, England","Sentinel","2018-51",2018-12-17,92,10,82,7,3,0,0
"765","United Kingdom, England","Sentinel","2018-52",2018-12-24,45,11,34,10,1,0,0
"766","United Kingdom, England","Sentinel","2019-01",2018-12-31,64,19,45,17,2,0,0
"767","United Kingdom, England","Sentinel","2019-02",2019-01-07,125,36,89,28,8,0,0
"768","United Kingdom, England","Sentinel","2019-03",2019-01-14,125,56,69,51,5,0,0
"769","United Kingdom, England","Sentinel","2019-04",2019-01-21,115,58,57,46,12,0,0
"770","United Kingdom, England","Sentinel","2019-05",2019-01-28,160,84,76,72,12,0,0
"771","United Kingdom, England","Sentinel","2019-06",2019-02-04,174,99,75,78,21,0,0
"772","United Kingdom, England","Sentinel","2019-07",2019-02-11,177,84,93,56,28,0,0
"773","United Kingdom, England","Sentinel","2019-08",2019-02-18,95,40,55,30,9,0,1
"774","United Kingdom, England","Sentinel","2019-09",2019-02-25,68,19,49,10,9,0,0
"775","United Kingdom, England","Sentinel","2019-10",2019-03-04,55,16,39,7,9,0,0
"776","United Kingdom, England","Sentinel","2019-11",2019-03-11,36,8,28,5,3,0,0
"777","United Kingdom, England","Sentinel","2019-12",2019-03-18,32,6,26,3,3,0,0
"778","United Kingdom, England","Sentinel","2019-13",2019-03-25,28,7,21,0,7,0,0
"779","United Kingdom, England","Sentinel","2019-14",2019-04-01,15,5,10,1,4,0,0
"780","United Kingdom, England","Sentinel","2019-15",2019-04-08,1,0,1,0,0,0,0
"781","United Kingdom, England","Sentinel","2019-16",2019-04-15,7,0,7,0,0,0,0
"782","United Kingdom, England","Sentinel","2019-17",2019-04-22,6,0,6,0,0,0,0
"783","United Kingdom, England","Sentinel","2019-18",2019-04-29,7,0,7,0,0,0,0
"784","United Kingdom, England","Sentinel","2019-19",2019-05-06,0,0,0,0,0,0,0
"785","United Kingdom, England","Sentinel","2019-20",2019-05-13,1,0,1,0,0,0,0
"786","United Kingdom, England","Sentinel","2019-40",2019-09-30,0,0,0,0,0,0,0
"787","United Kingdom, England","Sentinel","2019-41",2019-10-07,79,2,77,2,0,0,0
"788","United Kingdom, England","Sentinel","2019-42",2019-10-14,118,4,114,0,4,0,0
"789","United Kingdom, England","Sentinel","2019-43",2019-10-21,241,10,231,2,8,0,0
"790","United Kingdom, England","Sentinel","2019-44",2019-10-28,267,9,258,0,9,0,0
"791","United Kingdom, England","Sentinel","2019-45",2019-11-04,138,10,128,1,9,0,0
"792","United Kingdom, England","Sentinel","2019-46",2019-11-11,138,14,124,2,11,0,1
"793","United Kingdom, England","Sentinel","2019-47",2019-11-18,151,36,115,2,32,0,2
"794","United Kingdom, England","Sentinel","2019-48",2019-11-25,161,25,136,0,25,0,0
"795","United Kingdom, England","Sentinel","2020-01",2019-12-30,201,80,121,10,68,0,2
"796","United Kingdom, England","Sentinel","2020-02",2020-01-06,204,50,154,6,42,0,2
"797","United Kingdom, England","Sentinel","2020-03",2020-01-13,139,25,114,10,14,0,1
"798","United Kingdom, England","Sentinel","2020-04",2020-01-20,89,16,73,8,4,0,4
"799","United Kingdom, England","Sentinel","2020-05",2020-01-27,143,19,124,7,6,0,6
"800","United Kingdom, England","Sentinel","2020-06",2020-02-03,157,28,129,7,8,0,13
"801","United Kingdom, England","Sentinel","2020-07",2020-02-10,133,22,111,6,5,0,11
"802","United Kingdom, England","Sentinel","2020-08",2020-02-17,81,5,76,1,3,0,1
"803","United Kingdom, England","Sentinel","2020-09",2020-02-24,113,13,100,7,0,0,6
"804","United Kingdom, England","Sentinel","2020-10",2020-03-02,245,21,224,11,2,0,8
"805","United Kingdom, England","Sentinel","2020-11",2020-03-09,351,23,328,7,4,0,12
"806","United Kingdom, England","Sentinel","2020-12",2020-03-16,253,10,243,4,0,0,6
"807","United Kingdom, England","Sentinel","2020-13",2020-03-23,214,2,212,1,0,0,1
"808","United Kingdom, England","Sentinel","2020-14",2020-03-30,143,1,142,1,0,0,0
"809","United Kingdom, England","Sentinel","2020-15",2020-04-06,0,0,0,0,0,0,0
"810","United Kingdom, England","Sentinel","2020-16",2020-04-13,0,0,0,0,0,0,0
"811","United Kingdom, England","Sentinel","2020-17",2020-04-20,0,0,0,0,0,0,0
"812","United Kingdom, England","Sentinel","2020-18",2020-04-27,0,0,0,0,0,0,0
"813","United Kingdom, England","Sentinel","2020-19",2020-05-04,0,0,0,0,0,0,0
"814","United Kingdom, England","Sentinel","2020-20",2020-05-11,0,0,0,0,0,0,0
"815","United Kingdom, England","Sentinel","2020-40",2020-09-28,217,0,217,0,0,0,0
"816","United Kingdom, England","Sentinel","2020-41",2020-10-05,221,0,221,0,0,0,0
"817","United Kingdom, England","Sentinel","2020-42",2020-10-12,248,0,248,0,0,0,0
"818","United Kingdom, England","Sentinel","2020-43",2020-10-19,276,0,276,0,0,0,0
"819","United Kingdom, England","Sentinel","2020-44",2020-10-26,272,0,272,0,0,0,0
"820","United Kingdom, England","Sentinel","2020-45",2020-11-02,295,0,295,0,0,0,0
"821","United Kingdom, England","Sentinel","2020-46",2020-11-09,338,0,338,0,0,0,0
"822","United Kingdom, England","Sentinel","2020-47",2020-11-16,382,0,382,0,0,0,0
"823","United Kingdom, England","Sentinel","2020-48",2020-11-23,246,0,246,0,0,0,0
"824","United Kingdom, England","Sentinel","2020-49",2020-11-30,203,0,203,0,0,0,0
"825","United Kingdom, England","Sentinel","2020-50",2020-12-07,267,0,267,0,0,0,0
"826","United Kingdom, England","Sentinel","2020-51",2020-12-14,290,0,290,0,0,0,0
"827","United Kingdom, England","Sentinel","2020-52",2020-12-21,156,0,156,0,0,0,0
"828","United Kingdom, England","Sentinel","2020-53",2020-12-28,96,0,96,0,0,0,0
"829","United Kingdom, England","Sentinel","2021-01",2021-01-04,296,0,296,0,0,0,0
"830","United Kingdom, England","Sentinel","2021-02",2021-01-11,409,0,409,0,0,0,0
"831","United Kingdom, England","Sentinel","2021-03",2021-01-18,320,0,320,0,0,0,0
"832","United Kingdom, England","Sentinel","2021-04",2021-01-25,219,0,219,0,0,0,0
"833","United Kingdom, England","Sentinel","2021-05",2021-02-01,219,0,219,0,0,0,0
"834","United Kingdom, England","Sentinel","2021-06",2021-02-08,169,0,169,0,0,0,0
"835","United Kingdom, England","Sentinel","2021-07",2021-02-15,151,0,151,0,0,0,0
"836","United Kingdom, England","Sentinel","2021-08",2021-02-22,163,0,163,0,0,0,0
"837","United Kingdom, England","Sentinel","2021-09",2021-03-01,146,0,146,0,0,0,0
"838","United Kingdom, England","Sentinel","2021-10",2021-03-08,92,0,92,0,0,0,0
"839","United Kingdom, England","Sentinel","2021-11",2021-03-15,84,0,84,0,0,0,0
"840","United Kingdom, England","Sentinel","2021-12",2021-03-22,84,0,84,0,0,0,0
"841","United Kingdom, England","Sentinel","2021-13",2021-03-29,67,0,67,0,0,0,0
"842","United Kingdom, England","Sentinel","2021-14",2021-04-05,43,0,43,0,0,0,0
"843","United Kingdom, England","Sentinel","2021-15",2021-04-12,70,0,70,0,0,0,0
"844","United Kingdom, England","Sentinel","2021-16",2021-04-19,48,0,48,0,0,0,0
"845","United Kingdom, England","Sentinel","2021-17",2021-04-26,51,0,51,0,0,0,0
"846","United Kingdom, England","Sentinel","2021-18",2021-05-03,39,0,39,0,0,0,0
"847","United Kingdom, England","Sentinel","2021-19",2021-05-10,51,0,51,0,0,0,0
"848","United Kingdom, England","Sentinel","2021-20",2021-05-17,58,0,58,0,0,0,0
"849","United Kingdom, England","Sentinel","2021-40",2021-10-04,86,1,85,0,1,0,0
"850","United Kingdom, England","Sentinel","2021-41",2021-10-11,120,0,120,0,0,0,0
"851","United Kingdom, England","Sentinel","2021-42",2021-10-18,84,0,84,0,0,0,0
"852","United Kingdom, England","Sentinel","2021-43",2021-10-25,82,2,80,0,2,0,0
"853","United Kingdom, England","Sentinel","2021-44",2021-11-01,66,0,66,0,0,0,0
"854","United Kingdom, England","Sentinel","2021-45",2021-11-08,87,1,86,1,0,0,0
"855","United Kingdom, England","Sentinel","2021-46",2021-11-15,75,1,74,0,0,0,1
"856","United Kingdom, England","Sentinel","2021-47",2021-11-22,129,1,128,0,1,0,0
"857","United Kingdom, England","Sentinel","2021-48",2021-11-29,95,0,95,0,0,0,0
"858","United Kingdom, England","Sentinel","2021-49",2021-12-06,129,1,128,0,0,0,1
"859","United Kingdom, England","Sentinel","2021-50",2021-12-13,86,1,85,0,1,0,0
"860","United Kingdom, England","Sentinel","2021-51",2021-12-20,68,0,68,0,0,0,0
"861","United Kingdom, England","Sentinel","2021-52",2021-12-27,39,0,39,0,0,0,0
"862","United Kingdom, England","Sentinel","2022-01",2022-01-03,50,0,50,0,0,0,0
"863","United Kingdom, England","Sentinel","2022-02",2022-01-10,96,0,96,0,0,0,0
"864","United Kingdom, England","Sentinel","2022-03",2022-01-17,79,0,79,0,0,0,0
"865","United Kingdom, England","Sentinel","2022-04",2022-01-24,59,0,59,0,0,0,0
"866","United Kingdom, England","Sentinel","2022-05",2022-01-31,76,2,74,0,2,0,0
"867","United Kingdom, England","Sentinel","2022-06",2022-02-07,64,0,64,0,0,0,0
"868","United Kingdom, England","Sentinel","2022-07",2022-02-14,36,0,36,0,0,0,0
"869","United Kingdom, England","Sentinel","2022-08",2022-02-21,70,1,69,0,1,0,0
"870","United Kingdom, England","Sentinel","2022-09",2022-02-28,55,0,55,0,0,0,0
"871","United Kingdom, England","Sentinel","2022-10",2022-03-07,62,4,58,0,4,0,0
"872","United Kingdom, England","Sentinel","2022-11",2022-03-14,87,4,83,0,4,0,0
"873","United Kingdom, England","Sentinel","2022-12",2022-03-21,107,8,99,1,7,0,0
"874","United Kingdom, England","Sentinel","2022-13",2022-03-28,103,5,98,1,3,0,1
"875","United Kingdom, England","Sentinel","2022-14",2022-04-04,99,5,94,0,5,0,0
"876","United Kingdom, England","Sentinel","2022-15",2022-04-11,57,4,53,0,4,0,0
"877","United Kingdom, England","Sentinel","2022-16",2022-04-18,53,5,48,0,5,0,0
"878","United Kingdom, England","Sentinel","2022-17",2022-04-25,35,2,33,0,2,0,0
"879","United Kingdom, England","Sentinel","2022-18",2022-05-02,25,4,21,0,4,0,0
"880","United Kingdom, England","Sentinel","2022-19",2022-05-09,46,2,44,0,2,0,0
"881","United Kingdom, England","Sentinel","2022-20",2022-05-16,45,3,42,1,2,0,0
"882","United Kingdom, England","Sentinel","2022-38",2022-09-19,1,1,0,1,0,0,NA
