6.997, 0.657
6.994, 0.656
6.991, 0.655
6.972, 2.630
6.968, 2.629
6.965, 2.628
6.959, 3.946
6.956, 3.945
6.953, 3.944
6.946, 3.943
6.943, 3.942
6.940, 3.942
6.934, 3.941
6.930, 3.940
6.927, 3.939
6.921, 6.575
6.918, 6.575
6.915, 6.574
6.908, 10.528
6.905, 10.528
6.896, 31.623
6.893, 31.622
6.886, 30.962
6.883, 30.961
6.880, 30.960
6.877, 30.960
6.874, 52.056
6.870, 52.056
6.867, 52.055
6.861, 25.023
6.858, 25.023
6.855, 25.022
6.848, 41.503
6.845, 41.502
6.842, 41.501
6.836, 32.930
6.832, 32.929
6.829, 32.928
6.823, 12.489
6.820, 12.489
6.817, 12.488
6.810, 6.553
6.807, 6.553
6.804, 6.552
6.798, 10.507
6.795, 10.506
6.791, 10.505
6.785, 16.438
6.782, 16.437
6.779, 16.436
6.772, 15.776
6.769, 15.775
6.766, 15.775
6.760, 3.906
6.757, 3.906
6.753, 3.905
6.747, 8.519
6.744, 8.518
6.741, 8.517
6.734, 14.450
6.731, 14.449
6.728, 14.448
6.722, 14.447
6.719, 14.447
6.715, 14.446
6.709, 2.578
6.706, 2.577
6.703, 2.576
6.696, 1.916
6.693, 1.915
6.690, 1.915
6.684, 0.595
6.681, 0.594
6.678, 0.594
5.707, 0.402
5.704, 0.401
5.659, 1.711
5.656, 1.710
5.653, 1.710
5.609, 0.382
5.606, 0.382
5.602, 0.381
5.571, 0.375
5.568, 0.374
5.564, 0.374
5.444, 0.350
5.441, 0.349
5.438, 0.349
5.419, 1.663
5.416, 1.663
5.413, 1.003
5.406, 0.342
5.403, 0.342
5.394, 4.296
5.391, 4.295
5.381, 2.315
5.378, 2.315
5.372, 0.995
5.368, 1.653
5.365, 1.653
5.359, 1.652
5.356, 1.651
5.353, 1.650
5.346, 1.649
5.343, 1.648
5.340, 1.648
5.334, 1.647
5.330, 1.646
5.327, 1.645
5.321, 1.644
5.318, 1.643
5.315, 1.643
5.308, 0.323
5.305, 0.322
5.302, 0.322
5.296, 0.321
5.293, 0.320
5.289, 0.319
5.258, 0.313
5.255, 0.312
5.251, 0.312
5.245, 0.311
5.242, 0.310
5.239, 0.309
5.232, 1.627
5.229, 1.626
5.226, 1.625
5.207, 1.622
5.204, 1.621
5.201, 1.620
5.157, 0.293
5.153, 0.292
5.150, 0.292
5.144, 2.268
5.141, 2.268
5.138, 2.267
5.131, 1.607
5.128, 1.606
5.125, 1.605
5.119, 1.604
5.115, 1.603
5.112, 0.944
5.106, 0.283
5.103, 0.282
5.093, 2.258
5.090, 2.258
5.081, 2.256
5.078, 2.255
5.068, 0.276
5.065, 0.275
5.059, 0.274
5.055, 0.273
5.052, 0.272
5.046, 10.160
5.043, 10.160
