y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label,peak_time,day_shifted,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,total_cases,H1_prop,H3_prop,H1_adj,H3_adj,Season,total_tested,inferred_H3,gr,gr_smooth
0.13705140355600107,-0.07940060101876509,0.3814420020904956,-0.4969211882549863,0.8517443557263735,0.6633333333333333,2,inferred_H3,2011,28,2011-07-11,2011/12,0,192,Pre-pandemic,339,-147,0,0,0,0,0,0,0,0,0,0,2011/12,0,0,0,NA
0.11843962671624446,-0.07936930605774536,0.3248203380501416,-0.4330099782191803,0.7211034905678916,0.6606666666666666,3,inferred_H3,2011,29,2011-07-18,2011/12,7,199,Pre-pandemic,339,-140,3,0,1,0,1,4,0,1,0,4,2011/12,1,4,3.7135720667043075,NA
0.05547633381661479,-0.12075545587514294,0.2277728361161484,-0.41181293795778956,0.5901535613222224,0.5786666666666667,4,inferred_H3,2011,30,2011-07-25,2011/12,14,206,Pre-pandemic,339,-133,0,1,0,0,0.2,1,1,0,1,0,2011/12,1,0,-3.7135720667043075,NA
0.0017287176701327872,-0.15307612491681194,0.15710565965094497,-0.4446155185961485,0.46408191693777096,0.5016666666666667,5,inferred_H3,2011,31,2011-08-01,2011/12,21,213,Pre-pandemic,339,-126,1,0,2,1,1,4,0,1,0,3,2011/12,3,2.6666666666666665,3.3202283191284883,0.8300570797821221
-0.06894643528605565,-0.21724995786249607,0.0791070594988025,-0.5102975064054605,0.3800754125309706,0.377,6,inferred_H3,2011,32,2011-08-08,2011/12,28,220,Pre-pandemic,339,-119,0,0,1,0,0.3,1,0,1,0,1,2011/12,1,1,-0.9223330463301176,0.5994738181995927
-0.11358860780241259,-0.25925784416415854,0.02603807356873257,-0.5406618303940958,0.3142021845304549,0.28733333333333333,7,inferred_H3,2011,33,2011-08-15,2011/12,35,227,Pre-pandemic,339,-112,0,0,0,0,0,0,0,0,0,0,2011/12,0,0,-2.3978952727983707,-0.9283930166760769
-0.12088183181882009,-0.2605004486917587,0.02159143184701745,-0.5193868841141973,0.3047157746917201,0.28533333333333333,8,inferred_H3,2011,34,2011-08-22,2011/12,42,234,Pre-pandemic,339,-105,0,1,0,1,0.6,2,1,0,1,0,2011/12,2,0,0,0
-0.0860505071813358,-0.22408663221899225,0.052194788765540984,-0.4948753371024436,0.3284049610648278,0.3443333333333333,9,inferred_H3,2011,35,2011-08-29,2011/12,49,241,Pre-pandemic,339,-98,4,0,0,1,1.5,5,0,0,0,0,2011/12,1,0,0,-0.8300570797821221
-0.051964197285180674,-0.18675036234351447,0.08476730510958091,-0.43544088668951597,0.32929494122926495,0.4026666666666667,10,inferred_H3,2011,36,2011-09-05,2011/12,56,248,Pre-pandemic,339,-91,0,0,0,0,0,0,0,0,0,0,2011/12,0,0,0,-0.5994738181995927
-0.010549084396714647,-0.14542605571907805,0.12038004086986126,-0.40483284531683533,0.36759255921577927,0.4776666666666667,11,inferred_H3,2011,37,2011-09-12,2011/12,63,255,Pre-pandemic,339,-84,2,0,2,0,1.2,4,0,1,0,4,2011/12,2,4,3.7135720667043075,0.9283930166760769
0.0019465633500457546,-0.1275425473881994,0.13673901894149518,-0.37869200312995327,0.40213431308364056,0.5023333333333333,12,inferred_H3,2011,38,2011-09-19,2011/12,70,262,Pre-pandemic,339,-77,4,0,0,1,1.2,5,0,0,0,0,2011/12,1,0,-3.7135720667043075,0
0.053439404323010475,-0.07337754700642206,0.188447608773424,-0.31802503528692666,0.4373105669969405,0.6056666666666667,13,inferred_H3,2011,39,2011-09-26,2011/12,77,269,Pre-pandemic,339,-70,0,0,0,1,0.2,1,0,0,0,0,2011/12,1,0,0,0
0.11836143658624353,-0.015704138716827715,0.2493371466391655,-0.27380718652877184,0.5100187334858286,0.7266666666666667,14,inferred_H3,2011,40,2011-10-03,2011/12,84,276,Pre-pandemic,339,-63,0,1,0,1,0.4,2,1,0,1,0,2011/12,2,0,0,0
0.18541054684651184,0.057567982469427834,0.3163379129691879,-0.19938472711613192,0.5647497305724175,0.827,15,inferred_H3,2011,41,2011-10-10,2011/12,91,283,Pre-pandemic,339,-56,0,0,0,0,0,0,0,0,0,0,2011/12,0,0,0,-0.928393016676077
