y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,agegroup,Year,Week,date,Season,time_rel,max_week,time_plot
0.2707200498253936,0.1078785599161187,0.4489997856785712,-0.17946345397350982,0.8387573748113594,0.885,27,Influenza A/H3,1-4,2023,27,2023-07-09,2023 to 2024,0,21,-21
0.2519638071724911,0.10474196682650966,0.4120406994648845,-0.16395001666025039,0.7815730857148794,0.8803333333333333,28,Influenza A/H3,1-4,2023,28,2023-07-16,2023 to 2024,1,21,-20
0.209216717520614,0.07140407399486945,0.3568101538279056,-0.1817294881319084,0.7017727496988626,0.8553333333333333,29,Influenza A/H3,1-4,2023,29,2023-07-23,2023 to 2024,2,21,-19
0.17053168434131588,0.029861658749351067,0.3306474358522936,-0.2489101387788678,0.637092829224651,0.799,30,Influenza A/H3,1-4,2023,30,2023-07-30,2023 to 2024,3,21,-18
0.14453642508325415,0.008060350935786859,0.2773348592978022,-0.25590014682374795,0.5698514258919114,0.764,31,Influenza A/H3,1-4,2023,31,2023-08-06,2023 to 2024,4,21,-17
0.125085198733497,-0.001314196726297779,0.25627045242963065,-0.2618413072655544,0.5219898866796674,0.747,32,Influenza A/H3,1-4,2023,32,2023-08-13,2023 to 2024,5,21,-16
0.13239437108896795,-0.001093119022275095,0.2658667656758761,-0.2668462460141077,0.5324184875448015,0.7466666666666667,33,Influenza A/H3,1-4,2023,33,2023-08-20,2023 to 2024,6,21,-15
0.1707855148774121,0.05010123059852767,0.2904454158453777,-0.1885143473762736,0.5475094558738108,0.8306666666666667,34,Influenza A/H3,1-4,2023,34,2023-08-27,2023 to 2024,7,21,-14
0.2252545395895627,0.11213615081693425,0.34083227486267254,-0.10201383596371076,0.5832632688320797,0.9166666666666666,35,Influenza A/H3,1-4,2023,35,2023-09-03,2023 to 2024,8,21,-13
0.2704107654475672,0.16100253152766397,0.3907268127030721,-0.0676989221063608,0.6401281851612354,0.9483333333333334,36,Influenza A/H3,1-4,2023,36,2023-09-10,2023 to 2024,9,21,-12
0.3019556043275664,0.2022855882530769,0.41083701700326186,0.010270636295230449,0.6589036635783371,0.9796666666666667,37,Influenza A/H3,1-4,2023,37,2023-09-17,2023 to 2024,10,21,-11
0.31569999528798914,0.21844189876602088,0.4199438757689832,0.04824646293991097,0.657827248382997,0.9873333333333333,38,Influenza A/H3,1-4,2023,38,2023-09-24,2023 to 2024,11,21,-10
0.30809522067808814,0.20525738117447567,0.4193664630721982,0.021223766788351795,0.6541649243632751,0.9823333333333333,39,Influenza A/H3,1-4,2023,39,2023-10-01,2023 to 2024,12,21,-9
0.2823775665841359,0.19027355603969917,0.3816827614212017,0.024530733276161888,0.5879725909318657,0.983,40,Influenza A/H3,1-4,2023,40,2023-10-08,2023 to 2024,13,21,-8
0.24297957372692103,0.15761566085506218,0.33004708272884087,0.011561467653223943,0.5075919329992273,0.9793333333333333,41,Influenza A/H3,1-4,2023,41,2023-10-15,2023 to 2024,14,21,-7
0.20281098220048155,0.11542300044021858,0.2896230232465345,-0.047480665986991556,0.4621994973238948,0.9433333333333334,42,Influenza A/H3,1-4,2023,42,2023-10-22,2023 to 2024,15,21,-6
0.16664422377645383,0.08908911370583772,0.24347074303658972,-0.060130418263234314,0.39678752904119,0.9323333333333333,43,Influenza A/H3,1-4,2023,43,2023-10-29,2023 to 2024,16,21,-5
0.1535542645721386,0.07580975512497112,0.23078506903745893,-0.0961089404574828,0.3747774132556241,0.9,44,Influenza A/H3,1-4,2023,44,2023-11-05,2023 to 2024,17,21,-4
0.20641855714946522,0.1229302120570821,0.28749207038397656,-0.055354050202438124,0.4393632227937789,0.939,45,Influenza A/H3,1-4,2023,45,2023-11-12,2023 to 2024,18,21,-3
0.336000215772857,0.2662916088216608,0.399197850442221,0.1475681275321474,0.5248553524363695,1,46,Influenza A/H3,1-4,2023,46,2023-11-19,2023 to 2024,19,21,-2
0.5068888883131564,0.44205830530786827,0.5743220801138221,0.32287981159214224,0.7087626486956526,1,47,Influenza A/H3,1-4,2023,47,2023-11-26,2023 to 2024,20,21,-1
0.5636539554959523,0.48278968531687605,0.6491193446763583,0.3416634290176747,0.8252010014696055,1,48,Influenza A/H3,1-4,2023,48,2023-12-03,2023 to 2024,21,21,0
0.4703760651798561,0.40311861249106284,0.5369077341334343,0.2926525143165707,0.6807176547575139,1,49,Influenza A/H3,1-4,2023,49,2023-12-10,2023 to 2024,22,21,1
0.26577416064869475,0.2263879724407103,0.30524215064965754,0.15151509444226804,0.3865429920354036,1,50,Influenza A/H3,1-4,2023,50,2023-12-17,2023 to 2024,23,21,2
0.11935043819832636,0.07119776754915108,0.1653939083466125,-0.02313475122858459,0.26175034448075885,0.9483333333333334,51,Influenza A/H3,1-4,2023,51,2023-12-24,2023 to 2024,24,21,3
0.0701952279427096,0.026222262324727685,0.1180378500074104,-0.05815416031704885,0.20558983054270735,0.8576666666666667,52,Influenza A/H3,1-4,2023,52,2023-12-31,2023 to 2024,25,21,4
0.108573719739395,0.07122000940150475,0.14899284339447583,0.0016128709010860831,0.22923880738689553,0.9773333333333334,53,Influenza A/H3,1-4,2024,1,2024-01-07,2023 to 2024,26,21,5
0.17486340594877392,0.132555992174348,0.21605500616200457,0.05499823241086588,0.29518431905538484,0.9976666666666667,54,Influenza A/H3,1-4,2024,2,2024-01-14,2023 to 2024,27,21,6
0.24839664439847953,0.21654619744245696,0.2800176005754422,0.1553687012550274,0.3422724674923905,1,55,Influenza A/H3,1-4,2024,3,2024-01-21,2023 to 2024,28,21,7
0.30340505710258503,0.2679489272552358,0.33695066639622273,0.1966484688472219,0.39472485593524537,1,56,Influenza A/H3,1-4,2024,4,2024-01-28,2023 to 2024,29,21,8
0.21538219332548358,0.17343452421487204,0.2546118824549588,0.08924536252277171,0.3293784347573079,0.9993333333333333,57,Influenza A/H3,1-4,2024,5,2024-02-04,2023 to 2024,30,21,9
-0.04502199267820117,-0.0739102311227755,-0.015302257801941277,-0.13470255155458005,0.04067618458267136,0.157,58,Influenza A/H3,1-4,2024,6,2024-02-11,2023 to 2024,31,21,10
-0.4108833871652142,-0.45482442346403285,-0.3674824185724548,-0.5434936163267731,-0.28321959114351336,0,59,Influenza A/H3,1-4,2024,7,2024-02-18,2023 to 2024,32,21,11
-0.6378410266267838,-0.6962399434093087,-0.5821938209650537,-0.8073176417158976,-0.4712706916553605,0,60,Influenza A/H3,1-4,2024,8,2024-02-25,2023 to 2024,33,21,12
-0.6625850934461999,-0.70643660702989,-0.6170685699826899,-0.790317929470897,-0.5252021243361176,0,61,Influenza A/H3,1-4,2024,9,2024-03-03,2023 to 2024,34,21,13
-0.5264420363598177,-0.5825371548398169,-0.46910290031025426,-0.6935777294688668,-0.36120472297963474,0,62,Influenza A/H3,1-4,2024,10,2024-03-10,2023 to 2024,35,21,14
-0.4087040394764594,-0.47874911230134176,-0.3368013159118092,-0.6176561269952986,-0.19774320458732303,0,63,Influenza A/H3,1-4,2024,11,2024-03-17,2023 to 2024,36,21,15
-0.3491083341041321,-0.4121272529994736,-0.2848072193055866,-0.5214919234587057,-0.1694422777483486,0,64,Influenza A/H3,1-4,2024,12,2024-03-24,2023 to 2024,37,21,16
-0.3393699031617481,-0.4066446776643994,-0.26945614027451514,-0.5335108043589374,-0.1377935109827516,3.333333333333333e-4,65,Influenza A/H3,1-4,2024,13,2024-03-31,2023 to 2024,38,21,17
-0.3268904166116867,-0.40938598995941816,-0.24230616506845482,-0.5685314979712376,-0.0814822308840987,0.004333333333333333,66,Influenza A/H3,1-4,2024,14,2024-04-07,2023 to 2024,39,21,18
-0.29694550576058776,-0.37882146301974234,-0.2221014025666418,-0.5346140048730007,-0.07551494731370727,0.004333333333333333,67,Influenza A/H3,1-4,2024,15,2024-04-14,2023 to 2024,40,21,19
-0.26083796597217557,-0.33846046040113775,-0.18201286231521002,-0.5050972170245289,-0.030601082419245914,0.008333333333333333,68,Influenza A/H3,1-4,2024,16,2024-04-21,2023 to 2024,41,21,20
-0.22240829549203145,-0.30944520720004276,-0.13526635344723015,-0.48805509288790744,0.030593432987461387,0.043333333333333335,69,Influenza A/H3,1-4,2024,17,2024-04-28,2023 to 2024,42,21,21
