y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start
0.0037975358551661786,-0.10065111123397236,0.11329280786450135,-0.3091088942010685,0.33014591768030926,0.5093333333333333,114,Influenza A/H3,2011,27,2011-07-04,2011/12,0
0.04980818076441172,-0.042010677411757374,0.14366972349075477,-0.2414843778040674,0.34731584394082,0.6403333333333333,115,Influenza A/H3,2011,28,2011-07-11,2011/12,7
0.08578946440593732,-0.001929279479930171,0.18189564558572333,-0.19256909074615153,0.367350553032742,0.745,116,Influenza A/H3,2011,29,2011-07-18,2011/12,14
0.10600223495066638,0.005140748912559168,0.20906796753605505,-0.18158448879955263,0.4087400554686899,0.7586666666666667,117,Influenza A/H3,2011,30,2011-07-25,2011/12,21
0.10291415392198944,0.011984244606561556,0.19562359813502084,-0.16166394475367515,0.381674055369785,0.776,118,Influenza A/H3,2011,31,2011-08-01,2011/12,28
0.0826528673984136,-0.009961754509833526,0.18126916837710152,-0.19907696521958715,0.3612249224843122,0.7266666666666667,119,Influenza A/H3,2011,32,2011-08-08,2011/12,35
0.06730199072202467,-0.041586483064050314,0.16951553695198412,-0.2484735869955645,0.37140698883634354,0.6663333333333333,120,Influenza A/H3,2011,33,2011-08-15,2011/12,42
0.05379361710206776,-0.047265181702526166,0.15044170415394154,-0.2353042192802981,0.32368883769273,0.64,121,Influenza A/H3,2011,34,2011-08-22,2011/12,49
0.04305893958936735,-0.05373418610475475,0.13446164806347063,-0.24203643330748467,0.3086990433727766,0.62,122,Influenza A/H3,2011,35,2011-08-29,2011/12,56
0.02394367314970286,-0.07546658199992018,0.12050270718438993,-0.2635652962798371,0.3157367413541338,0.5643333333333334,123,Influenza A/H3,2011,36,2011-09-05,2011/12,63
7.856306342113317e-5,-0.0893513764744085,0.09197795466799291,-0.2633689971223725,0.27362125785562497,0.5003333333333333,124,Influenza A/H3,2011,37,2011-09-12,2011/12,70
-0.026443211086266516,-0.11417631844057999,0.0664257330922543,-0.28594554924932436,0.24557707756313257,0.4226666666666667,125,Influenza A/H3,2011,38,2011-09-19,2011/12,77
-0.03852985896175892,-0.14375757809753445,0.06012999526373847,-0.3198126936271315,0.24992345305496513,0.389,126,Influenza A/H3,2011,39,2011-09-26,2011/12,84
-0.04280475306264575,-0.1338178775182905,0.04989572110754656,-0.2933630908577306,0.23148267195722438,0.38333333333333336,127,Influenza A/H3,2011,40,2011-10-03,2011/12,91
-0.02371162257931919,-0.11327456728829541,0.06504301038718767,-0.27421451340463143,0.2516765269290879,0.416,128,Influenza A/H3,2011,41,2011-10-10,2011/12,98
0.008006535774915724,-0.08845568254049083,0.10670595861634774,-0.2712425618831659,0.2954468096960183,0.5226666666666666,129,Influenza A/H3,2011,42,2011-10-17,2011/12,105
0.05836530588390959,-0.028678529338308917,0.1461708553840947,-0.19389506002354806,0.3063761203485375,0.6796666666666666,130,Influenza A/H3,2011,43,2011-10-24,2011/12,112
0.11897559401205882,0.039098858376583556,0.2040143219991824,-0.11964935757320361,0.3727092872820164,0.8323333333333334,131,Influenza A/H3,2011,44,2011-10-31,2011/12,119
0.18448156334861854,0.09731783291950141,0.2793377475192458,-0.08142311674665326,0.4699212865998445,0.9103333333333333,132,Influenza A/H3,2011,45,2011-11-07,2011/12,126
0.2553833921898139,0.17455875754571115,0.3398968261580833,0.012085649112157485,0.5003993350279589,0.9816666666666667,133,Influenza A/H3,2011,46,2011-11-14,2011/12,133
0.3200992032452834,0.23898691241349096,0.4030121289590342,0.08901358700573787,0.5641616323915453,0.9963333333333333,134,Influenza A/H3,2011,47,2011-11-21,2011/12,140
0.3542199395148671,0.26471373556460753,0.44055418131416446,0.09702712240943653,0.6204757622125139,0.9956666666666667,135,Influenza A/H3,2011,48,2011-11-28,2011/12,147
0.34710111029064517,0.2676717250184457,0.42499547575138963,0.12197106780039951,0.5726405260235612,0.9993333333333333,136,Influenza A/H3,2011,49,2011-12-05,2011/12,154
0.30597475574110655,0.23718276447362552,0.37234910266175414,0.11151007461469402,0.5030162275983051,0.999,137,Influenza A/H3,2011,50,2011-12-12,2011/12,161
0.24771195033579718,0.17626477261677476,0.3217648605989558,0.04112794716466517,0.4605174544821177,0.9923333333333333,138,Influenza A/H3,2011,51,2011-12-19,2011/12,168
0.17888507690404598,0.11759657519395783,0.23757039574911243,-6.639658739813832e-4,0.3639607994281706,0.9743333333333334,139,Influenza A/H3,2011,52,2011-12-26,2011/12,175
0.11165662177032254,0.05260406358199343,0.16753536620345,-0.058632348078670654,0.2848998124462149,0.8986666666666666,140,Influenza A/H3,2012,1,2012-01-02,2011/12,182
0.10884588323701427,0.042514083645808665,0.17606063137383343,-0.09246017640705462,0.3097105951668637,0.861,141,Influenza A/H3,2012,2,2012-01-09,2011/12,189
0.18537495776645163,0.12910706418602091,0.23997694100196254,0.02520950870823661,0.3490997866200091,0.9893333333333333,142,Influenza A/H3,2012,3,2012-01-16,2011/12,196
0.31257759081686887,0.26704399353990205,0.355885181727004,0.18583112918639613,0.446600910393204,1,143,Influenza A/H3,2012,4,2012-01-23,2011/12,203
0.3731136359878995,0.32323400560469784,0.42779404597632986,0.23297202107237944,0.5302682781755302,1,144,Influenza A/H3,2012,5,2012-01-30,2011/12,210
0.3434480692233244,0.3018471324730043,0.389266378776536,0.2238816957451286,0.47607352805130204,1,145,Influenza A/H3,2012,6,2012-02-06,2011/12,217
0.23572451420153007,0.19669509592147927,0.275285622296356,0.1263740630011851,0.34731952956984147,1,146,Influenza A/H3,2012,7,2012-02-13,2011/12,224
